iteration,log_likelihood,network_size,parameters,description
0,0.0,0,5000_2500_1_0.2_0.1_100,
1,-0.2839250233412353,1,5000_2500_1_0.2_0.1_100,
2,-0.2839250233412353,1,5000_2500_1_0.2_0.1_100,
3,-0.3689991879612591,2,5000_2500_1_0.2_0.1_100,
4,-0.3689991879612591,2,5000_2500_1_0.2_0.1_100,
5,-0.3689991879612591,2,5000_2500_1_0.2_0.1_100,
6,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
7,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
8,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
9,-0.7542189294399152,3,5000_2500_1_0.2_0.1_100,
10,-0.7542189294399152,3,5000_2500_1_0.2_0.1_100,
11,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
12,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
13,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
14,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
15,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
16,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
17,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
18,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
19,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
20,-0.7542189294399152,3,5000_2500_1_0.2_0.1_100,
21,-0.7542189294399152,3,5000_2500_1_0.2_0.1_100,
22,-0.7542189294399152,3,5000_2500_1_0.2_0.1_100,
23,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
24,-0.7542189294399151,3,5000_2500_1_0.2_0.1_100,
25,-0.915926320072183,4,5000_2500_1_0.2_0.1_100,
26,-0.9159263200721832,4,5000_2500_1_0.2_0.1_100,
27,-0.9159263200721832,4,5000_2500_1_0.2_0.1_100,
28,-0.915926320072183,4,5000_2500_1_0.2_0.1_100,
29,-1.2996716786816855,5,5000_2500_1_0.2_0.1_100,
30,-1.299671678681685,5,5000_2500_1_0.2_0.1_100,
31,-1.299671678681685,5,5000_2500_1_0.2_0.1_100,
32,-1.2996716786816855,5,5000_2500_1_0.2_0.1_100,
33,-1.5491952753100804,6,5000_2500_1_0.2_0.1_100,
34,-1.5491952753100804,6,5000_2500_1_0.2_0.1_100,
35,-1.5491952753100804,6,5000_2500_1_0.2_0.1_100,
36,-1.5491952753100804,6,5000_2500_1_0.2_0.1_100,
37,-1.5491952753100804,6,5000_2500_1_0.2_0.1_100,
38,-1.5491952753100804,6,5000_2500_1_0.2_0.1_100,
39,-1.5491952753100804,6,5000_2500_1_0.2_0.1_100,
40,-1.5491952753100804,6,5000_2500_1_0.2_0.1_100,
41,-1.5491952753100804,6,5000_2500_1_0.2_0.1_100,
42,-1.5491952753100804,6,5000_2500_1_0.2_0.1_100,
43,-2.152407710468463,7,5000_2500_1_0.2_0.1_100,
44,-2.1524077104684634,7,5000_2500_1_0.2_0.1_100,
45,-2.1524077104684634,7,5000_2500_1_0.2_0.1_100,
46,-2.152407710468463,7,5000_2500_1_0.2_0.1_100,
47,-2.152407710468463,7,5000_2500_1_0.2_0.1_100,
48,-2.152407710468463,7,5000_2500_1_0.2_0.1_100,
49,-2.152407710468463,7,5000_2500_1_0.2_0.1_100,
50,-2.152407710468463,7,5000_2500_1_0.2_0.1_100,
51,-2.152407710468463,7,5000_2500_1_0.2_0.1_100,
52,-2.152407710468463,7,5000_2500_1_0.2_0.1_100,
53,-2.511774928966148,8,5000_2500_1_0.2_0.1_100,
54,-2.511774928966148,8,5000_2500_1_0.2_0.1_100,
55,-2.511774928966148,8,5000_2500_1_0.2_0.1_100,
56,-2.511774928966148,8,5000_2500_1_0.2_0.1_100,
57,-2.5117749289661475,8,5000_2500_1_0.2_0.1_100,
58,-2.5117749289661475,8,5000_2500_1_0.2_0.1_100,
59,-2.5117749289661484,8,5000_2500_1_0.2_0.1_100,
60,-2.7629101294886778,9,5000_2500_1_0.2_0.1_100,
61,-2.7629101294886773,9,5000_2500_1_0.2_0.1_100,
62,-2.924617520120945,10,5000_2500_1_0.2_0.1_100,
63,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
64,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
65,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
66,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
67,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
68,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
69,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
70,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
71,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
72,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
73,-2.965596364880441,11,5000_2500_1_0.2_0.1_100,
74,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
75,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
76,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
77,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
78,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
79,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
80,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
81,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
82,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
83,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
84,-2.9655963648804415,11,5000_2500_1_0.2_0.1_100,
85,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
86,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
87,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
88,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
89,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
90,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
91,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
92,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
93,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
94,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
95,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
96,-3.332902997149177,12,5000_2500_1_0.2_0.1_100,
97,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
98,-3.3329029971491773,12,5000_2500_1_0.2_0.1_100,
99,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
100,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
101,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
102,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
103,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
104,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
105,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
106,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
107,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
108,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
109,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
110,-3.68939871331525,13,5000_2500_1_0.2_0.1_100,
111,-3.68939871331525,13,5000_2500_1_0.2_0.1_100,
112,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
113,-3.6893987133152497,13,5000_2500_1_0.2_0.1_100,
114,-4.2926111484736325,14,5000_2500_1_0.2_0.1_100,
115,-4.2926111484736325,14,5000_2500_1_0.2_0.1_100,
116,-4.2926111484736325,14,5000_2500_1_0.2_0.1_100,
117,-4.2926111484736325,14,5000_2500_1_0.2_0.1_100,
118,-4.292611148473632,14,5000_2500_1_0.2_0.1_100,
119,-4.292611148473632,14,5000_2500_1_0.2_0.1_100,
120,-4.292611148473632,14,5000_2500_1_0.2_0.1_100,
