iteration,log_likelihood,network_size
0,-0.23038425642013044,1
1,-0.7006388579256524,2
2,-0.7006388579256524,2
3,-0.7006388579256524,2
4,-0.7006388579256524,2
5,-0.7006388579256524,2
6,-0.9357737171037811,3
7,-0.935773717103781,3
8,-0.9357737171037811,3
9,-0.9357737171037811,3
10,-0.935773717103781,3
11,-0.935773717103781,3
12,-0.9357737171037811,3
13,-0.935773717103781,3
14,-1.3085299541392923,4
15,-1.3085299541392923,4
16,-1.4570503404911463,5
17,-1.4570503404911463,5
18,-1.4570503404911463,5
19,-2.0058093421605236,6
20,-2.0058093421605236,6
21,-2.2508342165492707,7
22,-2.2508342165492707,7
23,-2.2508342165492703,7
24,-2.2508342165492703,7
25,-2.860027805953332,8
26,-3.2327840429888433,9
27,-3.4168637313729846,10
28,-3.556688410758289,11
29,-4.088647534221467,12
30,-4.088647534221467,12
31,-4.088647534221467,12
32,-4.088647534221467,12
33,-4.3927752648775105,13
34,-4.519696539428382,14
35,-4.519696539428382,14
36,-4.519696539428382,14
37,-4.519696539428382,14
38,-4.519696539428382,14
39,-4.519696539428383,14
40,-5.118332307560188,15
41,-5.1183323075601885,15
42,-5.505028608922992,16
43,-5.505028608922991,16
44,-5.505028608922992,16
45,-5.809156339579036,17
46,-5.809156339579035,17
47,-5.809156339579035,17
48,-5.809156339579035,17
49,-5.809156339579034,17
50,-5.809156339579035,17
51,-5.809156339579035,17
52,-5.809156339579035,17
53,-5.809156339579035,17
54,-5.809156339579035,17
55,-6.253641427909577,18
56,-6.253641427909577,18
57,-6.253641427909577,18
58,-6.253641427909577,18
59,-6.253641427909577,18
60,-6.253641427909577,18
61,-6.253641427909577,18
62,-6.253641427909577,18
63,-6.253641427909577,18
64,-6.253641427909577,18
65,-6.253641427909577,18
66,-6.253641427909577,18
67,-6.253641427909577,18
68,-6.253641427909577,18
69,-6.253641427909576,18
70,-6.253641427909576,18
71,-6.253641427909576,18
72,-6.253641427909576,18
73,-6.253641427909576,18
74,-6.253641427909576,18
75,-6.253641427909577,18
76,-6.253641427909577,18
77,-6.253641427909577,18
78,-6.253641427909577,18
79,-6.550314024071611,19
80,-6.7950183342646735,20
81,-6.7950183342646735,20
82,-6.7950183342646735,20
83,-6.7950183342646735,20
84,-6.7950183342646735,20
85,-6.7950183342646735,20
86,-7.1898749182976065,21
87,-7.1898749182976065,21
88,-7.1898749182976065,21
89,-7.1898749182976065,21
90,-7.475134164651801,22
91,-7.475134164651801,22
92,-7.475134164651801,22
93,-7.475134164651802,22
94,-7.475134164651802,22
95,-7.475134164651802,22
96,-7.475134164651802,22
97,-7.475134164651802,22
98,-7.475134164651802,22
99,-7.475134164651802,22
100,-7.475134164651802,22
101,-7.475134164651802,22
102,-7.475134164651802,22
103,-7.475134164651802,22
104,-7.475134164651802,22
105,-7.820580044632859,23
106,-7.820580044632859,23
107,-7.820580044632859,23
108,-8.08470244068052,24
109,-8.084702440680518,24
110,-8.084702440680518,24
111,-8.525281274044604,25
112,-8.525281274044604,25
113,-8.525281274044604,25
