parameters,avg_log_likelihood,max_log_likelihood,avg_network_size,max_network_size,std_log_likelihood,avg_degree_centrality,max_degree_centrality,num_nodes,num_edges,density
1000_2500_1_0.2_0.1_100,-27.840357053629173,0.0,91.054,177,16.20786993050311,0.04819277108433736,0.10843373493975904,84,168,0.024096385542168676
1000_2500_1_0.2_0.1_50,-26.254753730907716,0.0,87.232,174,15.257521203185094,0.0478991596638655,0.11904761904761904,85,171,0.023949579831932775
1000_2500_1_0.2_0.2_100,-25.725541199691662,0.0,87.532,185,16.46413102140514,0.05098039215686268,0.11904761904761904,85,182,0.025490196078431372
1000_2500_1_0.2_0.2_50,-26.57145968371356,-0.2023450363592187,93.268,191,16.691814910970347,0.05182072829131647,0.13095238095238093,85,185,0.025910364145658265
1000_2500_1_0.3_0.1_100,-28.622539291248312,-0.7224299854544901,87.823,176,16.394140117353057,0.04817927170868342,0.14285714285714285,85,172,0.024089635854341738
1000_2500_1_0.3_0.1_50,-25.564380900685176,0.0,90.771,171,14.247331692653393,0.04966206288568911,0.13414634146341464,83,169,0.02483103144284455
1000_2500_1_0.3_0.2_100,-29.34834051941698,0.0,95.67,180,16.180380008541263,0.04873949579831927,0.11904761904761904,85,174,0.024369747899159664
1000_2500_1_0.3_0.2_50,-27.65709423711637,-0.278937481830857,94.246,182,15.558593290995253,0.050774526678141134,0.12048192771084337,84,177,0.025387263339070567
1000_2500_5_0.2_0.1_100,-24.84486602961097,-0.1705963380484642,82.753,178,15.23312929816474,0.04905335628227194,0.10843373493975904,84,171,0.024526678141135974
1000_2500_5_0.2_0.1_50,-24.80511001363177,0.0,87.161,169,13.76671743865629,0.048192771084337345,0.12048192771084337,84,168,0.024096385542168676
1000_2500_5_0.2_0.2_100,-23.727214347389534,0.0,82.496,173,13.846988438751147,0.055176890619928545,0.11538461538461538,79,170,0.027588445309964297
1000_2500_5_0.2_0.2_50,-23.62961240628238,-0.4174564159467817,80.158,175,13.661825704775337,0.0487394957983193,0.11904761904761904,85,174,0.024369747899159664
1000_2500_5_0.3_0.1_100,-26.880466105705384,0.0,90.667,180,14.539334215088772,0.04962707974756169,0.10843373493975904,84,173,0.02481353987378084
1000_2500_5_0.3_0.1_50,-27.436671374573788,0.0,96.303,186,15.953712120639633,0.051260504201680636,0.11904761904761904,85,183,0.025630252100840335
1000_2500_5_0.3_0.2_100,-25.030790252775677,0.0,81.797,164,14.429695369683637,0.04425770308123243,0.10714285714285714,85,158,0.022128851540616248
1000_2500_5_0.3_0.2_50,-24.10549444544641,-0.2495235966283948,84.755,175,15.410033512033227,0.047058823529411695,0.10714285714285714,85,168,0.023529411764705882
1000_500_1_0.2_0.1_100,-28.009877477954756,-0.4962935014560578,96.311,187,15.27559146230832,0.050980392156862724,0.09523809523809523,85,182,0.025490196078431372
1000_500_1_0.2_0.1_50,-23.449847729411992,0.0,82.004,171,14.395213749858918,0.050888286660644405,0.1111111111111111,82,169,0.025444143330322192
1000_500_1_0.2_0.2_100,-27.17228607842528,0.0,92.353,183,15.216461052252338,0.0526006464883926,0.13414634146341464,83,179,0.0263003232441963
1000_500_1_0.2_0.2_50,-27.58536563544041,0.0,87.83,183,17.006415066791078,0.050774526678141155,0.12048192771084337,84,177,0.025387263339070567
1000_500_1_0.3_0.1_100,-25.40266538939693,-0.1141822487748784,92.306,184,15.156045896155508,0.05014005602240891,0.14285714285714285,85,179,0.025070028011204483
